Input,0,1,2,3
Adjacent to Fowler Ave and Near Intersection  of Fowler Ave and Robinwood Ave  ,Adjacent to, Fowler Ave and ,Near Intersection,  of Fowler Ave and Robinwood Ave
Opposite to PLOT 35 feet to North ,Opposite to, PLOT 35 feet to North,,
Front and back of the Property address ,Front, and ,back, of the Property address
From Intersection  of James Road and Washington Ave Go South on James approximately 100 feet to Site on Right. LOC Entire Vacant ,Intersection  ,of James Road and Washington Ave Go ,South on, James approximately 100 feet to Site on Right. LOC Entire Vacant
Adjacent to Plot 3970 50 feet North ,Adjacent to, Plot 3970 50 feet North,,
Front of Property 100 feet West ,Front of, Property 100 feet West,,
30l N Right to Property address 50 feet to Site ,30l N ,Right to, Property address 50 feet to Site,
Front of PLOT 200l N of Arnold Industrial Way on West Side of Port Chicago HWY ,Front of, PLOT 200l N of Arnold Industrial Way on West Side of Port Chicago HWY,,
Right to Property address towards Junction 100 feet for Site ,Right to, Property address towards Junction 100 feet for Site,,
Opposite Front of Property 80 feet South ,Opposite,Front of, Property 80 feet South,
In between property and adjacent plot 35 feet West ,In between, property and ,adjacent, plot 35 feet West
Opposite to Pizza King 35l N Near junction on S10 street ,Opposite to, Pizza King 35l N ,Near junction, on S10 street
55 feet East Adjacent to Property ,55 feet East ,Adjacent to, Property,
Opposite to PLOT 835 West ,Opposite to, PLOT 835 West,,
80 feet West of the Plot ,80 feet ,West of, the Plot,
West to the plot at Intersection of N Blvd and W Anderson St ,West to, the plot at Intersection of N Blvd and W Anderson St,,
Front of PLOT 40 feet North ,Front of, PLOT 40 feet North,,
Opposite to Samoa Club 20l N at junction ,Opposite to, Samoa Club 20l N at junction,,
Right to Property address towards Junction 64 feet for Site ,Right to, Property address towards Junction 64 feet for Site,,
In between Site and adjacent plot 43 feet East ,In between, Site and ,adjacent, plot 43 feet East
Opposite of Property 100 feet West ,Opposite of, Property 100 feet West,,
Front of PLOT 300l N of 2500 Fulkerth Rd near junction ,Front of, PLOT 300l N of 2500 Fulkerth Rd ,near junction,
20l N Right to Property address 10 feet to Site ,20l N ,Right to, Property address 10 feet to Site,
Opposite Front of Property 80 feet East ,Opposite,Front of, Property 80 feet East,
